title,author,pub_year,avg_rating,num_ratings,url
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,,4.34,9439521,https://www.goodreads.com/book/show/2767052-the-hunger-games
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,,4.5,3647259,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
Pride and Prejudice,Jane Austen,,4.29,4558333,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
To Kill a Mockingbird,Harper Lee,,4.26,6604289,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
The Book Thief,Markus Zusak,,4.39,2768701,https://www.goodreads.com/book/show/19063.The_Book_Thief
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,,3.67,7051007,https://www.goodreads.com/book/show/41865.Twilight
Animal Farm,George Orwell,,4.0,4277585,https://www.goodreads.com/book/show/170448.Animal_Farm
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,,4.61,140387,https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,,4.28,690088,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
The Fault in Our Stars,John Green,,4.13,5518316,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars
The Picture of Dorian Gray,Oscar Wilde,,4.13,1745382,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray
The Giving Tree,Shel Silverstein,,4.38,1198279,https://www.goodreads.com/book/show/370493.The_Giving_Tree
Wuthering Heights,Emily Brontë,,3.9,1935647,https://www.goodreads.com/book/show/6185.Wuthering_Heights
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,,4.31,3292581,https://www.goodreads.com/book/show/28187.The_Lightning_Thief
Gone with the Wind,Margaret Mitchell,,4.31,1252275,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind
The Perks of Being a Wallflower,Stephen Chbosky,,4.23,1924442,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower
The Little Prince,Antoine de Saint-Exupéry,,4.33,2331534,https://www.goodreads.com/book/show/157993.The_Little_Prince
Jane Eyre,Charlotte Brontë,,4.15,2233752,https://www.goodreads.com/book/show/10210.Jane_Eyre
The Great Gatsby,F. Scott Fitzgerald,,3.93,5652173,https://www.goodreads.com/book/show/4671.The_Great_Gatsby
Crime and Punishment,Fyodor Dostoevsky,,4.28,1004438,https://www.goodreads.com/book/show/7144.Crime_and_Punishment
"The da Vinci Code (Robert Langdon, #2)",Dan    Brown,,3.93,2457077,https://www.goodreads.com/book/show/968.The_da_Vinci_Code
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,,4.06,592349,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
"Divergent (Divergent, #1)",Veronica Roth,,4.14,4244352,https://www.goodreads.com/book/show/13335037-divergent
Memoirs of a Geisha,Arthur Golden,,4.16,2070054,https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha
Les Misérables,Victor Hugo,,4.21,826948,https://www.goodreads.com/book/show/24280.Les_Mis_rables
The Alchemist,Paulo Coelho,,3.92,3373928,https://www.goodreads.com/book/show/865.The_Alchemist
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,,4.32,1064789,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables
Lord of the Flies,William Golding,,3.7,3085581,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies
Romeo and Juliet,William Shakespeare,,3.74,2741315,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,,4.22,1950824,https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,,4.07,2110918,https://www.goodreads.com/book/show/256683.City_of_Bones
The Help,Kathryn Stockett,,4.46,2936180,https://www.goodreads.com/book/show/4667024-the-help
Dracula,Bram Stoker,,4.02,1395169,https://www.goodreads.com/book/show/17245.Dracula
Charlotte’s Web,E.B. White,,4.21,1971671,https://www.goodreads.com/book/show/24178.Charlotte_s_Web
Fahrenheit 451,Ray Bradbury,,3.97,2666873,https://www.goodreads.com/book/show/13079982-fahrenheit-451
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,,4.31,1439039,https://www.goodreads.com/book/show/375802.Ender_s_Game
Brave New World,Aldous Huxley,,3.99,1988323,https://www.goodreads.com/book/show/5129.Brave_New_World
Of Mice and Men,John Steinbeck,,3.89,2719678,https://www.goodreads.com/book/show/890.Of_Mice_and_Men
The Catcher in the Rye,J.D. Salinger,,3.8,3760736,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye
One Hundred Years of Solitude,Gabriel García Márquez,,4.12,1054779,https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude
1984,George Orwell,,4.2,5128266,https://www.goodreads.com/book/show/40961427-1984
A Thousand Splendid Suns,Khaled Hosseini,,4.45,1657333,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns
"Little Women (Little Women, #1)",Louisa May Alcott,,4.16,2364403,https://www.goodreads.com/book/show/1934.Little_Women
The Outsiders,S.E. Hinton,,4.14,1507335,https://www.goodreads.com/book/show/231804.The_Outsiders
The Secret Garden,Frances Hodgson Burnett,,4.16,1247771,https://www.goodreads.com/book/show/2998.The_Secret_Garden
The Princess Bride,William Goldman,,4.27,929543,https://www.goodreads.com/book/show/21787.The_Princess_Bride
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,,4.45,2648000,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
The Time Traveler's Wife,Audrey Niffenegger,,4.0,1836183,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife
"Harry Potter and the Sorcerer’s Stone (Harry Potter, #1)",J.K. Rowling,,4.47,10924790,https://www.goodreads.com/book/show/42844155-harry-potter-and-the-sorcerer-s-stone
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,,4.62,3968798,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
The Odyssey,Homer,,3.82,1144112,https://www.goodreads.com/book/show/1381.The_Odyssey
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,,3.98,1252909,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,,3.89,1744652,https://www.goodreads.com/book/show/35031085-frankenstein
The Kite Runner,Khaled Hosseini,,4.35,3361339,https://www.goodreads.com/book/show/77203.The_Kite_Runner
"The Giver (The Giver, #1)",Lois Lowry,,4.12,2698973,https://www.goodreads.com/book/show/3636.The_Giver
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,,4.15,2269114,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,,4.58,4610228,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
